shrinkage,interaction.depth,n.minobsinnode,n.trees,Accuracy,Kappa,AccuracySD,KappaSD,rho
0.01,1,3,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,1,5,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,1,10,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,2,3,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,2,5,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,2,10,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,3,3,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,3,5,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,3,10,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,5,3,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,5,5,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,5,10,0,0.35527777777777775,0,0.03903082563556962,0,0
0.01,1,3,40,0.7461111111111111,0.6147380952380952,0.08123067460369048,0.1244712905323659,0
0.01,1,5,40,0.7905555555555556,0.6832987012987013,0.11409721987406353,0.17128899264211903,0
0.01,1,10,40,0.7894444444444444,0.681084249084249,0.10761314905302403,0.16144521510479998,0
0.01,2,3,40,0.7572222222222222,0.6304653679653679,0.09281639619119263,0.1399958812612464,0
0.01,2,5,40,0.7461111111111111,0.6147380952380952,0.09665353962238708,0.14719355173704274,0
0.01,2,10,40,0.715,0.5696623376623376,0.1406932180975888,0.2113622381080995,0
0.01,3,3,40,0.7794444444444444,0.6660714285714285,0.12069898164481763,0.18545909919827233,0
0.01,3,5,40,0.7572222222222222,0.6332987012987012,0.11875121831733705,0.17747271571614714,0
0.01,3,10,40,0.7572222222222222,0.6314047619047619,0.11875121831733705,0.18038802449219438,0
0.01,5,3,40,0.725,0.5884683724235963,0.11745033681797465,0.17589195319572223,0
0.01,5,5,40,0.715,0.5697136197136197,0.15012683252377435,0.22660587772478735,0
0.01,5,10,40,0.725,0.5836483516483516,0.15738017193572548,0.2375747751891379,0
